,V1,V2,V3
0,0.083,0.417,0.25
1,0.056,0.25,0.167
2,0.25,-0.111,0.139
3,0.056,0.25,0.278
4,0.111,0.25,0.083
5,-0.056,0.306,0.167
6,0.167,0.056,0.056
7,0.222,0.028,0.056
8,-0.139,0.361,0.222
9,0.361,-0.028,0.25
10,0.0,0.389,0.333
11,-0.028,0.333,0.194
12,0.25,-0.306,-0.083
13,0.139,0.278,0.139
14,0.306,0.0,0.139
15,0.25,0.278,0.306
16,0.0,-0.056,0.111
17,0.139,0.028,0.0
18,0.139,0.694,0.278
19,0.167,0.25,0.194
20,-0.028,0.361,0.389
21,0.194,-0.167,-0.139
22,0.083,0.25,0.028
23,0.361,0.083,0.361
24,0.083,0.306,0.25
25,0.361,-0.278,0.139
26,0.0,0.194,0.083
27,0.194,0.167,0.111
28,0.306,0.139,0.278
29,-0.056,0.194,0.361
30,0.222,0.056,-0.111
31,-0.083,0.333,0.056
32,0.139,0.167,0.0
33,0.194,0.25,0.222
34,0.25,-0.083,-0.028
35,-0.083,0.194,0.056
36,0.361,-0.056,0.333
37,0.056,0.306,0.25
38,-0.056,0.389,0.111
39,0.361,-0.056,-0.167
40,-0.167,0.444,0.111
41,0.361,-0.056,0.278
42,0.0,0.278,0.417
43,0.5,-0.194,-0.111
44,-0.083,0.278,0.0
45,0.278,0.028,0.111
46,0.139,0.222,0.167
47,0.083,-0.083,-0.194
48,0.139,0.139,-0.028
49,0.167,0.028,0.083
50,0.111,0.278,0.278
51,0.278,0.0,0.028
52,-0.25,0.361,0.222
53,0.167,0.25,0.194
54,0.25,0.194,0.5
55,0.222,-0.028,0.0
56,0.0,0.167,0.111
57,0.389,0.056,0.222
58,0.111,0.25,0.139
59,0.306,0.028,0.25
60,0.083,0.139,0.111
61,0.028,0.306,0.389
62,0.25,-0.056,-0.056
63,0.056,0.361,0.028
64,0.0,0.833,0.333
65,0.167,0.167,0.222
66,-0.056,0.333,0.083
67,0.194,0.167,0.056
68,-0.083,0.472,0.25
69,0.222,0.167,0.361
70,0.0,0.139,0.028
71,0.25,0.083,0.028
72,0.028,-0.278,-0.056
73,0.389,-0.194,0.278
74,0.167,0.222,0.222
75,0.667,-0.556,-0.194
76,0.0,0.222,0.0
77,0.083,0.222,0.583
78,0.222,0.139,0.083
79,0.333,0.0,0.083
80,0.861,-0.028,0.778
81,0.111,0.167,0.333
82,0.139,0.056,0.111
83,0.194,0.111,0.139
84,-0.611,0.25,0.194
85,-0.194,0.194,0.083
86,0.222,0.139,0.306
87,0.222,-0.111,-0.056
88,-0.111,0.194,0.0
89,0.139,0.139,0.028
90,0.361,0.111,0.167
91,0.0,-0.056,-0.028
92,-0.5,0.194,0.444
93,-0.083,0.25,0.222
94,0.833,-0.194,0.694
