,V1,V2,V3
0,0.256,0.128,0.0
1,0.231,0.333,0.231
2,0.154,0.103,0.077
3,-0.128,1.205,1.462
4,0.231,0.231,0.103
5,0.179,-0.051,-0.103
6,0.128,-1.179,-1.179
7,0.077,1.769,1.795
8,0.231,-2.795,-2.872
9,0.128,-1.154,-1.154
10,0.179,-0.923,-0.974
11,-0.051,2.154,2.333
12,0.154,-1.103,-1.128
13,0.282,-0.564,-0.718
14,0.051,-0.641,-0.564
15,0.179,0.538,0.487
16,0.282,0.923,0.769
17,0.103,1.103,1.128
18,0.231,-0.256,-0.359
19,0.179,0.667,0.615
20,0.077,0.41,0.462
21,0.154,-2.205,-2.256
22,0.154,0.179,0.154
23,0.359,0.462,0.205
24,0.128,-1.128,-1.154
25,0.077,3.0,3.051
26,0.128,-0.897,-0.872
27,0.256,-0.103,-0.256
28,0.231,1.564,1.462
29,0.154,-0.872,-0.897
30,0.282,2.103,1.949
31,-0.385,1.667,2.179
32,-0.205,0.179,0.513
33,0.128,-0.41,-0.41
34,0.154,-0.231,-0.256
35,0.179,-1.564,-1.615
36,0.154,2.179,2.154
37,0.231,0.897,0.821
38,0.179,0.179,0.154
39,0.128,-0.872,-0.872
40,0.308,0.077,-0.103
41,0.154,-0.154,-0.154
42,-0.513,0.513,1.154
43,0.154,0.231,0.205
44,0.128,-1.282,-1.282
45,-0.026,1.308,1.487
46,0.179,0.41,0.333
47,0.154,-0.077,-0.077
48,0.308,0.077,-0.077
49,0.154,0.128,0.103
50,0.179,0.128,0.077
51,0.282,0.231,0.077
52,0.205,0.103,0.026
53,0.154,0.179,0.128
54,0.179,0.051,0.0
55,0.128,-0.026,-0.051
56,0.231,0.154,0.051
57,0.128,0.077,0.103
58,0.282,0.333,0.179
59,0.282,0.154,0.0
60,0.077,-0.641,-0.564
61,0.179,0.308,0.231
62,0.179,0.077,0.026
63,0.128,0.0,0.0
64,0.103,-1.0,-0.974
65,0.179,0.282,0.231
66,0.179,0.128,0.077
67,0.154,0.179,0.154
68,0.154,0.077,0.051
69,0.154,0.051,0.026
70,-0.333,-0.667,-0.205
71,0.103,0.0,0.026
72,0.179,0.154,0.103
73,0.256,0.128,0.0
74,-0.436,-0.513,0.077
75,0.128,0.077,0.077
76,0.333,0.256,0.077
77,0.205,0.026,-0.026
78,0.103,0.154,0.179
79,0.154,0.205,0.179
80,0.256,0.077,-0.051
81,0.282,0.538,0.41
82,0.154,0.026,-0.026
83,0.179,-0.051,-0.103
84,-0.026,0.026,0.179
85,0.128,0.615,0.615
86,0.179,0.333,0.256
87,0.128,-1.333,-1.359
88,0.179,-0.923,-0.974
89,0.103,-0.641,-0.615
90,0.154,0.513,0.487
91,0.179,-0.462,-0.487
92,0.128,0.051,0.051
93,0.154,0.718,0.692
94,0.154,-0.59,-0.615
95,-0.359,-0.231,0.256
96,-0.436,0.718,1.282
97,0.179,0.231,0.179
98,-0.026,-0.718,-0.564
99,-0.103,-0.41,-0.154
100,-0.333,-0.949,-0.487
101,-0.436,0.846,1.41
102,0.077,-0.103,-0.051
103,0.128,0.077,0.051
104,0.128,0.026,0.026
105,0.154,0.436,0.41
106,0.179,0.051,0.0
107,0.179,0.077,0.026
108,0.154,0.077,0.026
109,0.103,0.051,0.077
110,0.154,0.026,0.0
111,0.256,0.231,0.077
112,-0.718,0.718,1.564
113,0.308,0.308,0.154
114,0.103,0.026,0.051
115,-0.59,1.154,1.846
116,0.128,0.051,0.051
117,0.179,0.0,-0.051
118,0.128,0.026,0.026
119,0.154,0.128,0.103
120,0.205,0.256,0.154
121,-0.282,-0.667,-0.256
122,0.256,0.333,0.205
123,0.205,0.077,0.0
124,0.154,0.103,0.077
125,0.154,0.026,0.0
126,0.128,0.077,0.077
127,0.282,0.333,0.179
128,0.154,0.0,-0.026
129,0.231,0.282,0.179
130,0.179,0.0,-0.051
131,0.282,0.128,-0.026
132,0.128,0.051,0.051
133,0.128,-1.103,-1.103
134,0.462,1.538,1.205
135,0.282,0.333,0.179
136,0.231,0.154,0.051
